received_at,Total Installs
2021-08-17 00:00:00+00:00,585277
2021-08-18 00:00:00+00:00,589432
2021-08-19 00:00:00+00:00,593309
2021-08-20 00:00:00+00:00,596653
2021-08-21 00:00:00+00:00,599641
2021-08-22 00:00:00+00:00,602604
2021-08-23 00:00:00+00:00,607256
2021-08-24 00:00:00+00:00,611950
2021-08-25 00:00:00+00:00,617151
2021-08-26 00:00:00+00:00,623648
2021-08-27 00:00:00+00:00,631926
2021-08-28 00:00:00+00:00,639903
2021-08-29 00:00:00+00:00,647634
2021-08-30 00:00:00+00:00,656307
2021-08-31 00:00:00+00:00,664395
2021-09-01 00:00:00+00:00,672017
2021-09-02 00:00:00+00:00,677926
2021-09-03 00:00:00+00:00,682477
2021-09-04 00:00:00+00:00,687128
2021-09-05 00:00:00+00:00,690908
2021-09-06 00:00:00+00:00,695698
2021-09-07 00:00:00+00:00,700004
2021-09-08 00:00:00+00:00,703825
2021-09-09 00:00:00+00:00,708556
2021-09-10 00:00:00+00:00,712532
2021-09-11 00:00:00+00:00,716601
2021-09-12 00:00:00+00:00,720798
2021-09-13 00:00:00+00:00,725203
2021-09-14 00:00:00+00:00,730035
2021-09-15 00:00:00+00:00,735830
2021-09-16 00:00:00+00:00,743547
2021-09-17 00:00:00+00:00,750033
2021-09-18 00:00:00+00:00,756906
2021-09-19 00:00:00+00:00,763209
2021-09-20 00:00:00+00:00,769422
2021-09-21 00:00:00+00:00,775428
2021-09-22 00:00:00+00:00,781327
2021-09-23 00:00:00+00:00,787508
2021-09-24 00:00:00+00:00,793178
2021-09-25 00:00:00+00:00,798757
2021-09-26 00:00:00+00:00,804423
2021-09-27 00:00:00+00:00,810325
2021-09-28 00:00:00+00:00,816135
2021-09-29 00:00:00+00:00,822448
2021-09-30 00:00:00+00:00,828688
2021-10-01 00:00:00+00:00,834745
2021-10-02 00:00:00+00:00,840686
2021-10-03 00:00:00+00:00,846215
2021-10-04 00:00:00+00:00,852104
2021-10-05 00:00:00+00:00,858213
2021-10-06 00:00:00+00:00,864140
2021-10-07 00:00:00+00:00,870422
2021-10-08 00:00:00+00:00,876448
2021-10-09 00:00:00+00:00,882597
2021-10-10 00:00:00+00:00,888470
2021-10-11 00:00:00+00:00,894317
2021-10-12 00:00:00+00:00,900119
2021-10-13 00:00:00+00:00,905926
2021-10-14 00:00:00+00:00,911907
2021-10-15 00:00:00+00:00,917636
2021-10-16 00:00:00+00:00,923255
2021-10-17 00:00:00+00:00,928902
2021-10-18 00:00:00+00:00,934869
2021-10-19 00:00:00+00:00,940709
2021-10-20 00:00:00+00:00,946847
2021-10-21 00:00:00+00:00,952748
2021-10-22 00:00:00+00:00,959817
2021-10-23 00:00:00+00:00,965170
2021-10-24 00:00:00+00:00,970291
2021-10-25 00:00:00+00:00,975745
2021-10-26 00:00:00+00:00,981339
2021-10-27 00:00:00+00:00,986846
2021-10-28 00:00:00+00:00,991751
2021-10-29 00:00:00+00:00,996779
2021-10-30 00:00:00+00:00,1001091
2021-10-31 00:00:00+00:00,1005534
2021-11-01 00:00:00+00:00,1010128
2021-11-02 00:00:00+00:00,1015107
2021-11-03 00:00:00+00:00,1020068
2021-11-04 00:00:00+00:00,1024869
2021-11-05 00:00:00+00:00,1029577
2021-11-06 00:00:00+00:00,1034225
2021-11-07 00:00:00+00:00,1038657
2021-11-08 00:00:00+00:00,1043619
2021-11-09 00:00:00+00:00,1048476
2021-11-10 00:00:00+00:00,1053419
2021-11-11 00:00:00+00:00,1058209
2021-11-12 00:00:00+00:00,1062824
2021-11-13 00:00:00+00:00,1066699
2021-11-14 00:00:00+00:00,1070475
2021-11-15 00:00:00+00:00,1074701
2021-11-16 00:00:00+00:00,1078497
2021-11-17 00:00:00+00:00,1082788
2021-11-18 00:00:00+00:00,1087351
2021-11-19 00:00:00+00:00,1091797
2021-11-20 00:00:00+00:00,1095480
2021-11-21 00:00:00+00:00,1099234
2021-11-22 00:00:00+00:00,1103248
2021-11-23 00:00:00+00:00,1107977
2021-11-24 00:00:00+00:00,1112056
2021-11-25 00:00:00+00:00,1115921
2021-11-26 00:00:00+00:00,1120060
2021-11-27 00:00:00+00:00,1123726
2021-11-28 00:00:00+00:00,1127627
2021-11-29 00:00:00+00:00,1131822
2021-11-30 00:00:00+00:00,1135919
2021-12-01 00:00:00+00:00,1140046
2021-12-02 00:00:00+00:00,1144035
2021-12-03 00:00:00+00:00,1147972
2021-12-04 00:00:00+00:00,1151695
2021-12-05 00:00:00+00:00,1155727
2021-12-06 00:00:00+00:00,1160103
2021-12-07 00:00:00+00:00,1164477
2021-12-08 00:00:00+00:00,1169200
2021-12-09 00:00:00+00:00,1172028
2021-12-10 00:00:00+00:00,1174816
2021-12-11 00:00:00+00:00,1177301
2021-12-12 00:00:00+00:00,1179619
2021-12-13 00:00:00+00:00,1182407
2021-12-14 00:00:00+00:00,1185057
2021-12-15 00:00:00+00:00,1187959
2021-12-16 00:00:00+00:00,1191511
2021-12-17 00:00:00+00:00,1196122
2021-12-18 00:00:00+00:00,1198029
2021-12-19 00:00:00+00:00,1199611
2021-12-20 00:00:00+00:00,1201462
2021-12-21 00:00:00+00:00,1204239
2021-12-22 00:00:00+00:00,1207056
2021-12-23 00:00:00+00:00,1210100
2021-12-24 00:00:00+00:00,1213205
2021-12-25 00:00:00+00:00,1215700
2021-12-26 00:00:00+00:00,1218533
2021-12-27 00:00:00+00:00,1221411
2021-12-28 00:00:00+00:00,1224056
2021-12-29 00:00:00+00:00,1227133
2021-12-30 00:00:00+00:00,1230190
2021-12-31 00:00:00+00:00,1233271
2022-01-01 00:00:00+00:00,1236338
2022-01-02 00:00:00+00:00,1239823
2022-01-03 00:00:00+00:00,1243709
2022-01-04 00:00:00+00:00,1247903
2022-01-05 00:00:00+00:00,1255676
2022-01-06 00:00:00+00:00,1264594
2022-01-07 00:00:00+00:00,1272547
2022-01-08 00:00:00+00:00,1285524
2022-01-09 00:00:00+00:00,1294380
2022-01-10 00:00:00+00:00,1303791
2022-01-11 00:00:00+00:00,1313265
2022-01-12 00:00:00+00:00,1322581
2022-01-13 00:00:00+00:00,1332924
2022-01-14 00:00:00+00:00,1342918
2022-01-15 00:00:00+00:00,1352818
2022-01-16 00:00:00+00:00,1363064
2022-01-17 00:00:00+00:00,1373228
2022-01-18 00:00:00+00:00,1384195
2022-01-19 00:00:00+00:00,1399362
2022-01-20 00:00:00+00:00,1413872
2022-01-21 00:00:00+00:00,1426787
2022-01-22 00:00:00+00:00,1437435
2022-01-23 00:00:00+00:00,1447719
2022-01-24 00:00:00+00:00,1458540
2022-01-25 00:00:00+00:00,1468526
2022-01-26 00:00:00+00:00,1481473
2022-01-27 00:00:00+00:00,1490253
2022-01-28 00:00:00+00:00,1499957
2022-01-29 00:00:00+00:00,1508318
2022-01-30 00:00:00+00:00,1517282
2022-01-31 00:00:00+00:00,1526062
2022-02-01 00:00:00+00:00,1532325
2022-02-02 00:00:00+00:00,1538362
2022-02-03 00:00:00+00:00,1544443
2022-02-04 00:00:00+00:00,1550089
2022-02-05 00:00:00+00:00,1555516
2022-02-06 00:00:00+00:00,1561144
2022-02-07 00:00:00+00:00,1566958
2022-02-08 00:00:00+00:00,1572386
2022-02-09 00:00:00+00:00,1577799
2022-02-10 00:00:00+00:00,1583606
2022-02-11 00:00:00+00:00,1588449
2022-02-12 00:00:00+00:00,1591312
2022-02-13 00:00:00+00:00,1594184
2022-02-14 00:00:00+00:00,1597403
2022-02-15 00:00:00+00:00,1600703
2022-02-16 00:00:00+00:00,1603919
2022-02-17 00:00:00+00:00,1607254
2022-02-18 00:00:00+00:00,1610668
2022-02-19 00:00:00+00:00,1613816
2022-02-20 00:00:00+00:00,1616708
2022-02-21 00:00:00+00:00,1619815
2022-02-22 00:00:00+00:00,1622947
2022-02-23 00:00:00+00:00,1626833
2022-02-24 00:00:00+00:00,1630248
2022-02-25 00:00:00+00:00,1633830
2022-02-26 00:00:00+00:00,1637502
